labels,prob_1
1.0,0.9999997615814209
1.0,0.9999997615814209
1.0,0.999998927116394
1.0,0.9999980926513672
1.0,0.9999977350234985
1.0,0.9999984502792358
1.0,0.9999903440475464
1.0,0.9999897480010986
1.0,0.9999639987945557
1.0,0.9999988079071045
1.0,0.9999997615814209
1.0,0.9999990463256836
1.0,0.9999978542327881
1.0,0.9999992847442627
1.0,0.9999995231628418
1.0,0.9999850988388062
1.0,0.9999872446060181
1.0,0.9999955892562866
1.0,0.00028508465038612485
1.0,0.026156166568398476
1.0,0.9013102650642395
1.0,0.9972478747367859
1.0,0.9959738850593567
1.0,0.9995694756507874
1.0,0.6013972163200378
1.0,0.9999815225601196
1.0,0.9997784495353699
1.0,0.9999991655349731
1.0,0.9999996423721313
1.0,0.999996542930603
1.0,0.9971404075622559
1.0,0.9941316246986389
1.0,0.9999985694885254
1.0,0.9999992847442627
1.0,0.9999631643295288
1.0,0.9996228218078613
1.0,0.3424036204814911
1.0,0.9985414743423462
1.0,0.9999862909317017
1.0,0.9999982118606567
1.0,0.9999935626983643
1.0,0.9999667406082153
1.0,0.9999827146530151
1.0,0.9982666969299316
1.0,0.9999973773956299
1.0,0.9999758005142212
1.0,0.9999922513961792
1.0,0.999981164932251
1.0,0.9999995231628418
1.0,0.999998927116394
1.0,0.9999978542327881
1.0,0.999993085861206
1.0,0.9999969005584717
1.0,0.9999984502792358
1.0,0.9999974966049194
1.0,0.9999996423721313
1.0,0.9999960660934448
1.0,0.9999951124191284
1.0,0.9999966621398926
1.0,0.9999946355819702
1.0,0.9999996423721313
1.0,0.9999996423721313
1.0,0.9999963045120239
1.0,0.9999998807907104
1.0,0.9999998807907104
1.0,0.9999970197677612
1.0,0.9999992847442627
1.0,0.9999988079071045
1.0,0.9999617338180542
1.0,0.9999957084655762
1.0,0.9999986886978149
1.0,0.9999978542327881
1.0,0.9999988079071045
1.0,0.9999990463256836
1.0,0.9999996423721313
1.0,0.9999821186065674
1.0,0.9999985694885254
1.0,0.9999996423721313
1.0,0.9999994039535522
1.0,0.9999966621398926
1.0,0.9999897480010986
1.0,0.9999998807907104
1.0,0.9999997615814209
1.0,0.9999985694885254
1.0,0.9999996423721313
1.0,0.9999918937683105
1.0,0.9999960660934448
1.0,0.9999984502792358
1.0,0.9998569488525391
1.0,0.9996979236602783
1.0,0.9999982118606567
1.0,0.9999994039535522
1.0,0.9999996423721313
1.0,0.9999963045120239
1.0,0.9999924898147583
1.0,0.999990701675415
1.0,0.9999839067459106
1.0,0.9999947547912598
1.0,0.9999723434448242
1.0,0.9996336698532104
1.0,0.9999512434005737
1.0,0.9999542236328125
1.0,0.999778687953949
1.0,0.017902106046676636
1.0,0.9999693632125854
1.0,0.001984472619369626
1.0,0.9992892742156982
1.0,0.9996576309204102
1.0,0.9999997615814209
1.0,0.9999998807907104
1.0,0.9999974966049194
1.0,0.9999973773956299
1.0,0.9999921321868896
1.0,0.9999853372573853
1.0,0.9999374151229858
1.0,0.9999514818191528
1.0,0.99982750415802
1.0,0.9999822378158569
1.0,0.9999879598617554
1.0,0.9999977350234985
1.0,0.9999942779541016
1.0,0.9999977350234985
1.0,0.999984860420227
1.0,0.9999796152114868
1.0,0.9999126195907593
1.0,0.9997290968894958
1.0,0.9999998807907104
1.0,0.9999998807907104
1.0,0.9999974966049194
1.0,0.9999982118606567
1.0,0.9999796152114868
1.0,0.9999566078186035
1.0,0.9999979734420776
1.0,0.9999914169311523
1.0,0.9999724626541138
1.0,0.9999990463256836
1.0,0.9999997615814209
1.0,0.999998927116394
1.0,0.9999992847442627
1.0,0.9999979734420776
1.0,0.9999827146530151
1.0,0.9999818801879883
1.0,0.9999791383743286
1.0,0.9999830722808838
1.0,0.9999995231628418
1.0,0.9999994039535522
1.0,0.9999990463256836
1.0,0.9999997615814209
1.0,0.9999245405197144
1.0,0.9999985694885254
1.0,0.9999935626983643
1.0,0.9999971389770508
1.0,0.9999997615814209
1.0,0.9995749592781067
1.0,0.9999983310699463
1.0,0.9999980926513672
1.0,0.9999936819076538
1.0,0.9996336698532104
1.0,0.9999605417251587
1.0,0.9999059438705444
1.0,1.0
1.0,0.9999977350234985
1.0,0.9999634027481079
1.0,0.9999980926513672
1.0,0.48271358013153076
1.0,0.005527209490537643
1.0,0.9974954128265381
1.0,0.9878920316696167
1.0,0.9748185276985168
1.0,0.9998844861984253
1.0,0.9999958276748657
1.0,0.9999998807907104
1.0,0.9999991655349731
1.0,0.9999969005584717
1.0,0.9999961853027344
1.0,0.9999966621398926
1.0,0.9999872446060181
1.0,0.9999876022338867
1.0,0.9999539852142334
1.0,0.9920265078544617
1.0,0.9999948740005493
1.0,0.9999971389770508
1.0,0.9999774694442749
1.0,0.9999624490737915
1.0,0.999859094619751
1.0,0.9999994039535522
1.0,0.9999933242797852
1.0,0.9999980926513672
1.0,0.999997615814209
1.0,0.9999964237213135
1.0,0.9999988079071045
1.0,0.99997878074646
1.0,0.9999834299087524
1.0,0.9999958276748657
1.0,0.9999967813491821
1.0,0.9999996423721313
1.0,0.9999994039535522
1.0,0.9999990463256836
1.0,0.9999991655349731
1.0,0.999985933303833
1.0,0.9999979734420776
1.0,0.9999998807907104
1.0,0.9999986886978149
1.0,0.9999855756759644
1.0,0.9999978542327881
1.0,0.9999964237213135
1.0,0.999996542930603
1.0,0.9910944104194641
1.0,0.9996534585952759
1.0,0.9999889135360718
1.0,0.9986991882324219
1.0,0.9978663325309753
1.0,0.9999951124191284
1.0,0.9999605417251587
1.0,0.9999594688415527
1.0,0.9999804496765137
1.0,1.0
1.0,1.0
1.0,0.9999996423721313
1.0,0.9999854564666748
1.0,0.9999879598617554
1.0,0.9999815225601196
1.0,0.9999834299087524
1.0,0.9999700784683228
1.0,0.9998722076416016
1.0,0.9999988079071045
1.0,1.0
1.0,0.9999960660934448
1.0,0.9999548196792603
1.0,0.9999980926513672
1.0,0.9999983310699463
1.0,0.9999966621398926
1.0,0.9999890327453613
1.0,0.9999344348907471
1.0,0.9999996423721313
